Listing Name,Price,Room Type,Reviews
Room in Brooklyn Rowhouse - 3C,1303,Private room,7 reviews
Budget Room in Williamsburg - 3C,2005,Private room,32 reviews
Private Room - Brooklyn House - 2B,1337,Private room,33 reviews
Safest Neighborhood of New York!,6316,Entire home/apt,24 reviews
SMALL SUNNY BUDGET ROOM RIGHT NEXT TO METRO :)-:)-,2139,Private room,65 reviews
Penthouse Couch Crash 9PM-9AM ONLY,1170,Shared room,55 reviews
NEW Bright Ft. Greene Studio,3342,Entire home/apt,
Spacious & Modern in Williamsburg,6684,Entire home/apt,51 reviews
NEW Your own sunny 1-bedroom apt in Crown Heights!,2072,Entire home/apt,
Bohemian-style Brick in a Modern Space,1805,Private room,3 reviews
NYC loft living be a part of it! [AEC-1],602,Shared room,2 reviews
Beautiful Entire Apt Center W’burg,4345,Entire home/apt,20 reviews
NEW Spacious creative waterfront loft,4679,Entire home/apt,
"Spacious, Bohemian One Bedroom",3342,Entire home/apt,4 reviews
Room in beautiful Ditmas Park,1203,Private room,1 review
Clean New Beautiful Studio Apt,2339,Entire home/apt,33 reviews
Room with your private garden,2172,Private room,51 reviews
The Man Cave,902,Shared room,24 reviews
Room in Brooklyn Rowhouse - 3C,1303,Private room,7 reviews
Budget Room in Williamsburg - 3C,2005,Private room,32 reviews
Private Room - Brooklyn House - 2B,1337,Private room,33 reviews
Safest Neighborhood of New York!,6316,Entire home/apt,24 reviews
SMALL SUNNY BUDGET ROOM RIGHT NEXT TO METRO :)-:)-,2139,Private room,65 reviews
Penthouse Couch Crash 9PM-9AM ONLY,1170,Shared room,55 reviews
NEW Bright Ft. Greene Studio,3342,Entire home/apt,
Spacious & Modern in Williamsburg,6684,Entire home/apt,51 reviews
NEW Your own sunny 1-bedroom apt in Crown Heights!,2072,Entire home/apt,
Bohemian-style Brick in a Modern Space,1805,Private room,3 reviews
NYC loft living be a part of it! [AEC-1],602,Shared room,2 reviews
Beautiful Entire Apt Center W’burg,4345,Entire home/apt,20 reviews
NEW Spacious creative waterfront loft,4679,Entire home/apt,
"Spacious, Bohemian One Bedroom",3342,Entire home/apt,4 reviews
Room in beautiful Ditmas Park,1203,Private room,1 review
Clean New Beautiful Studio Apt,2339,Entire home/apt,33 reviews
Room with your private garden,2172,Private room,51 reviews
The Man Cave,902,Shared room,24 reviews
"Modern, Well-Appointed Room in NYC!",2172,Private room,177 reviews
Sun filled 2BR in BedStuy Townhouse,4512,Entire home/apt,120 reviews
A comfy bed in a brownstone!,1504,Shared room,9 reviews
Hip lofty 2BD close to everything,5013,Entire home/apt,1 review
NEW Spacious creative waterfront loft,4679,Entire home/apt,
Sunny studio in Brooklyn!,2506,Entire home/apt,46 reviews
"Bed&Bagel~your charming, solarpower 3bedroom loft",7352,Entire home/apt,97 reviews
IDEALLY LOCATED - WHOLE APARTMENT,3944,Entire home/apt,64 reviews
New Remodel in BKLYN near Prospect!,2573,Private room,12 reviews
Brooklyn Garden Apartment,3309,Entire home/apt,71 reviews
"Room in beautiful, spacious loft",1337,Private room,1 review
NEW A Beautiful Size Brooklyn Apartment by the Park,3008,Entire home/apt,
Private Rm in Beautiful Brownstone,2005,Private room,58 reviews
"""The Country"" & the NYC Waterfront!",5347,Entire home/apt,179 reviews
Experience An Iconic Brooklyn Brownstone,3008,Entire home/apt,
Spacious room in Beautiful Bedstuy,2139,Private room,6 reviews
"Private, well-lit room in Bed-Stuy!",2005,Private room,21 reviews
NEW Large Room in Friendly Artist Loft,1671,Private room,
Sunny Room in Renovated Apartment,3342,Private room,22 reviews
"Cozy and Private """,1337,Private room,8 reviews
Whole Apartment in Fort Greene,4278,Entire home/apt,1 review
Room in a beautiful rooftop duplex,3175,Private room,2 reviews
"Spacious, Spotless 1Bd- BK Heights!",5013,Entire home/apt,127 reviews
NEW LARGE bedroom in sun-lit Pre-War in Crown Heights,1671,Private room,
Cute & Cozy Room @Classy Buswhick,1504,Private room,8 reviews
Quiet room close to subway.,2506,Private room,27 reviews
Private Room in a Sunny Apt,2339,Private room,7 reviews
Cozy and simple Bedstuy studio right by the train,2306,Entire home/apt,1 review
Historic Row House Apartment with Garden Oasis,3309,Entire home/apt,1 review
"NEW Cozy Row House 1 Bedroom in Bedstuy, Brooklyn",1370,Private room,
"Room 4, Victorian House to Enjoy!",1771,Private room,4 reviews
Sunny 2BR steps to the train,3676,Entire home/apt,1 review
Beautiful Apartment in the heart of Brooklyn,1170,Private room,2 reviews
Brooklyn Artists' Loft (Painter's Room),1972,Private room,15 reviews
N.Y.C. Brooklyn Brownstone,5681,Entire home/apt,45 reviews
Bright room In a Calm apartment,1003,Private room,31 reviews
Sunny Room in Renovated Apartment,3342,Private room,22 reviews
"Cozy and Private """,1337,Private room,8 reviews
Whole Apartment in Fort Greene,4278,Entire home/apt,1 review
Room in a beautiful rooftop duplex,3175,Private room,2 reviews
"Spacious, Spotless 1Bd- BK Heights!",5013,Entire home/apt,127 reviews
NEW LARGE bedroom in sun-lit Pre-War in Crown Heights,1671,Private room,
Cute & Cozy Room @Classy Buswhick,1504,Private room,8 reviews
Quiet room close to subway.,2506,Private room,27 reviews
Private Room in a Sunny Apt,2339,Private room,7 reviews
Cozy and simple Bedstuy studio right by the train,2306,Entire home/apt,1 review
Historic Row House Apartment with Garden Oasis,3309,Entire home/apt,1 review
"NEW Cozy Row House 1 Bedroom in Bedstuy, Brooklyn",1370,Private room,
"Room 4, Victorian House to Enjoy!",1771,Private room,4 reviews
Sunny 2BR steps to the train,3676,Entire home/apt,1 review
Beautiful Apartment in the heart of Brooklyn,1170,Private room,2 reviews
Brooklyn Artists' Loft (Painter's Room),1972,Private room,15 reviews
N.Y.C. Brooklyn Brownstone,5681,Entire home/apt,45 reviews
Bright room In a Calm apartment,1003,Private room,31 reviews
Private room in north Park Slope,2440,Entire home/apt,45 reviews
Whole Apartment in Fort Greene,4278,Entire home/apt,1 review
PRIME Upscale Brooklyn! NEAR MANHTN,2674,Private room,43 reviews
